,0
0,0.07335121
1,0.07345941
2,0.087431006
3,0.08916143
4,0.08267723
5,0.06836507
6,0.07335121
7,0.0803868
8,0.084564805
9,0.08555204
10,0.07935686
11,0.07805774
12,0.07595448
13,0.074425705
14,0.07945569
15,0.086869955
16,0.09039057
17,0.07984945
18,0.08643425
19,0.071874164
20,0.069515124
21,0.074265584
22,0.07851045
23,0.092059955
24,0.076266505
25,0.072315
26,0.07059164
27,0.060455553
28,0.07192941
29,0.07532606
30,0.079947494
31,0.0834213
32,0.075273424
33,0.06819106
34,0.08442881
35,0.07437237
36,0.08028945
37,0.077296086
38,0.06772511
39,0.06830711
40,0.074319
41,0.07970209
42,0.07960364
43,0.08111203
44,0.08173357
45,0.083927296
46,0.084110186
47,0.09002508
48,0.104440086
49,0.09325436
50,0.09237121
51,0.09260328
52,0.0896568
53,0.090713136
54,0.08790106
55,0.076266505
56,0.08483582
